type,MNK,tflops
Tropical{Float32},"(1024, 1024, 1024)",0.5696956351033869
Tropical{Float32},"(2048, 2048, 2048)",0.5224728659953336
Tropical{Float32},"(4096, 4096, 4096)",0.395949368718255
Tropical{Float32},"(8192, 8192, 8192)",0.3789120892725775
Tropical{Float32},"(2048, 128, 128)",0.40889371995393703
Tropical{Float32},"(8192, 64, 64)",0.42458915827301713
Tropical{Float32},"(32768, 32, 32)",0.44368030147763715
Tropical{Float32},"(131072, 16, 16)",0.4025147189366857
Tropical{Float32},"(524288, 8, 8)",0.3306897938266251
Tropical{Float32},"(2097152, 4, 4)",0.24026143865729138
TropicalMinPlusF32,"(1024, 1024, 1024)",0.5608859448355658
TropicalMinPlusF32,"(2048, 2048, 2048)",0.5408293774206864
TropicalMinPlusF32,"(4096, 4096, 4096)",0.43812444037656034
TropicalMinPlusF32,"(8192, 8192, 8192)",0.37525166224668854
TropicalMinPlusF32,"(2048, 128, 128)",0.4116855653027422
TropicalMinPlusF32,"(8192, 64, 64)",0.44830098332620777
TropicalMinPlusF32,"(32768, 32, 32)",0.4435131648514328
TropicalMinPlusF32,"(131072, 16, 16)",0.40192890810759013
TropicalMinPlusF32,"(524288, 8, 8)",0.31823398252078205
TropicalMinPlusF32,"(2097152, 4, 4)",0.23632877406995254
TropicalMaxMulF32,"(1024, 1024, 1024)",0.5662362046935077
TropicalMaxMulF32,"(2048, 2048, 2048)",0.5165097583656953
TropicalMaxMulF32,"(4096, 4096, 4096)",0.393603381633233
TropicalMaxMulF32,"(8192, 8192, 8192)",0.37983704436828214
TropicalMaxMulF32,"(2048, 128, 128)",0.4097950928786898
TropicalMaxMulF32,"(8192, 64, 64)",0.4475893659877012
TropicalMaxMulF32,"(32768, 32, 32)",0.4432905117975005
TropicalMaxMulF32,"(131072, 16, 16)",0.3834419742082198
TropicalMaxMulF32,"(524288, 8, 8)",0.3291021455018022
TropicalMaxMulF32,"(2097152, 4, 4)",0.23850414039676732
